status,name,address,rating,reviews,types,neighborhood,place_id,reason
NEW,"King Spa & Sauna","321 Commercial Ave, Palisades Park, NJ 07650, USA",4.1,4374,"Boutique Sauna","",ChIJ8T2RcxT3wokRn9NzrWR04z0,
NEW,"East Side Club","227 E 56th St #6Floor, New York, NY 10022, USA",2.9,209,"","Midtown",ChIJ7WaoOORYwokRPlAjzlmUpTY,
NEW,"Perspire Sauna Studio Flatiron","50 W 23rd St, New York, NY 10010, USA",4.9,62,"Boutique Sauna","Flatiron",ChIJZRUpK31ZwokRelH9J1ARTN4,
NEW,"Aura Wellness Spa | Best Sauna & Body Scrub, Day Spa in NYC","49 W 33rd St, New York, NY 10001, USA",3.5,51,"Boutique Sauna","Chelsea",ChIJ2bJAGKlZwokRtEeAc6RQNH8,
NEW,"Haus Of Glow NYC","27 Grand St Level 17, New York, NY 10013, USA",5,12,"","Tribeca",ChIJLafYBNObWYcRRokbLk4k8yo,
NEW,"Elahni","12 W 27th St floor 2, New York, NY 10001, USA",5,85,"","Chelsea",ChIJAzeHxuxZwokRuIAxtgCC_aI,
NEW,"Escape men spa","459 W 18th St, New York, NY 10011, USA",4.5,28,"Day Spa","Chelsea",ChIJd2uOwCBZwokRUzlWGjI47L0,
NEW,"Yeah Man Spa","123 Allen St, New York, NY 10002, USA",4.2,48,"Day Spa","Lower East Side",ChIJ-6idwoZZwokRjbecdyFPyE0,
NEW,"Bathhouse Studios","538 E 11th St, New York, NY 10009, USA",4.4,50,"Modern Bathhouse","East Village",ChIJMQkoRUxYwokR0rDX-INWka4,
NEW,"Baruch Bathhouse","326 Delancey St, New York, NY 10002, USA",4,1,"Modern Bathhouse","Lower East Side",ChIJKaTGBgBZwokRzUJg1Tj4h3A,
NEW,"SPA 32","30 W 32nd St, New York, NY 10001, USA",4.2,139,"Day Spa","Chelsea",ChIJeemQ6KhZwokRC8zuNen1HTc,
NEW,"Kimberly Spa","28 Elizabeth St, New York, NY 10013, USA",4.9,7194,"Day Spa","Tribeca",ChIJNamd4pxZwokRMIbR9ykmBCw,
