status,name,address,rating,reviews,types,neighborhood,place_id,reason
NEW,"Equinox Brooklyn Heights","194 Joralemon St, Brooklyn, NY 11201, USA",3.3,141,"Gym Sauna","Brooklyn",ChIJ0yHZKElawokRD8CthaFLHls,
NEW,"Harbor Fitness Park Slope","550 5th Ave, Brooklyn, NY 11215, USA",4.6,428,"Gym Sauna","Brooklyn",ChIJgywovORawokR-bQsESJylrM,
NEW,"Grind House Brooklyn","203 Berry St, Brooklyn, NY 11249, USA",4.5,252,"Gym Sauna","Brooklyn",ChIJz0ZuA6FZwokR50KyiezXr0Y,
NEW,"Equinox Dumbo","117 Front St, Brooklyn, NY 11201, USA",4.1,110,"Gym Sauna","Brooklyn",ChIJa8aGYDFawokRXvbF70NQoQI,
NEW,"Othership Williamsburg","25 Kent Ave, Brooklyn, NY 11249, USA",5,337,"","Brooklyn",ChIJGakjPLVZwokRVwUuwN_dxkU,
NEW,"Restore Hyper Wellness","149 Kent Ave, Brooklyn, NY 11249, USA",4.9,168,"Day Spa","Brooklyn",ChIJ60cZY7RZwokRe8AecoSekp0,
NEW,"Equinox Domino","24 River St, Brooklyn, NY 11249, USA",3.1,159,"Gym Sauna","Brooklyn",ChIJ23lVb79ZwokRpA7BSeG6q0c,
NEW,"TMPL - Astor Place","4 Astor Pl, New York, NY 10003, USA",4.5,858,"Gym Sauna","East Village",ChIJOR8jUJpZwokRMxaqWe7kieU,
NEW,"Life Time","62 Cooper Sq, New York, NY 10003, USA",3.6,73,"Gym Sauna","East Village",ChIJK-RlliFZwokRDhJpzj-wa-M,
NEW,"Equinox Bond Street","0 Bond St, New York, NY 10012, USA",4,129,"Gym Sauna","SoHo",ChIJtxFuAJBZwokRwaNFoBv6Jtc,
NEW,"Equinox Greenwich Avenue","97 Greenwich Ave, New York, NY 10014, USA",3.4,207,"Gym Sauna","West Village",ChIJ59Wj85VZwokRqiEq8pCHDe8,
NEW,"COMPLETE by CompleteBody (Union Square)","25 W 14th St, New York, NY 10011, USA",4.8,166,"Gym Sauna","Chelsea",ChIJJ4ZeOrJZwokRvxJUB52x7Ys,
