status,name,address,rating,reviews,types,amenities,neighborhood,website,place_id,description,reason
FILTERED,"Redwood Outdoors Seattle Showroom","3801 Stone Way N E, Seattle, WA 98103, USA",4.6,10,,,,"https://www.redwoodoutdoors.com/",ChIJoW0UOwcVkFQRLcHpnvY2ybM,,"excluded type: store"
FILTERED,"Spa Noir","2120 2nd Ave, Seattle, WA 98121, USA",4.7,203,,,,"http://spanoir.net/",ChIJpwZYNUwVkFQRg1iBDOolVXw,,"no sauna-specific signals"
FILTERED,"Ampersand Fitness","504 9th Ave, Seattle, WA 98104, USA",4.7,228,,,,"https://www.ampersandfitnessgym.com/",ChIJp8YSiLdqkFQRtB7UnMk4myA,,"gym without confirmed saunas"
FILTERED,"Henry's Gymnasium","1617 Boylston Ave, Seattle, WA 98122, USA",4.6,237,,,,"https://www.henrysgymnasium.com/",ChIJWTpToiprkFQRfnTSzuPLr8M,,"gym without confirmed saunas"
FILTERED,"Flow Fitness","311 Terry Ave N, Seattle, WA 98109, USA",4.3,214,,,,"http://flowfitnessseattle.com/",ChIJvSSesTcVkFQR4rkK4IpYwqs,,"gym without confirmed saunas"
FILTERED,"Henry's Gymnasium","14 Mercer St, Seattle, WA 98109, USA",4.7,533,,,,"https://www.henrysgymnasium.com/?utm_source=google&utm_medium=local",ChIJbx65CCAVkFQR73hy-pQDbU4,,"gym without confirmed saunas"
FILTERED,"PRO Club Seattle","501 Eastlake Ave E, Seattle, WA 98109, USA",4,143,,,,"https://www.proclub.com/club/locations/seattle",ChIJS2AcVjAVkFQR_bQy1C079Ec,,"gym without confirmed saunas"
FILTERED,"ZUM Fitness","1809 7th Ave suite 200, Seattle, WA 98101, USA",4.6,89,,,,"http://zumfitness.com/",ChIJIX9Q2UoVkFQRRR5xdyq5Efw,,"gym without confirmed saunas"
FILTERED,"Downtown Seattle YMCA","909 4th Ave, Seattle, WA 98104, USA",4.3,338,,,,"https://www.seattleymca.org/locations/downtown-seattle-ymca?y_source=1_MTAzMDUwMTk3OS03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D",ChIJ56kw4LBqkFQR-l2qvWK95iU,,"gym without confirmed saunas"
FILTERED,"The Seattle Gym","1530 Queen Anne Ave N, Seattle, WA 98109, USA",4.2,163,,,,"http://www.theseattlegym.com/",ChIJCxHMVmsVkFQRePld_w3S218,,"gym without confirmed saunas"
FILTERED,"Cap Hill Fitness","1618 Bellevue Ave, Seattle, WA 98122, USA",5,265,,,,"http://www.caphillfitness.com/",ChIJ-VuwpaUVkFQRfp6NSOLCKnE,,"gym without confirmed saunas"
FILTERED,"Northwest Strong","116 Vine St, Seattle, WA 98121, USA",4.9,135,,,,"https://nwstrong.com/",ChIJLVTRorIVkFQRcSQ0XZc8SOg,,"gym without confirmed saunas"
FILTERED,"Rain City Fit","1516 11th Ave, Seattle, WA 98122, USA",4.8,356,,,,"http://www.raincityfit.com/",ChIJ8U_0s81qkFQRc_OxY7mSTmI,,"gym without confirmed saunas"
FILTERED,"The Studio (Studio 3 Fitness)","229 Queen Anne Ave N, Seattle, WA 98109, USA",4.7,210,,,,"https://www.studio3fit.com/",ChIJZWEawkQVkFQR6zfEe6wPqlo,,"gym without confirmed saunas"
FILTERED,"West Seattle Health Club","2629 SW Andover St, Seattle, WA 98126, USA",4.3,433,,,,"http://westseattlehc.com/",ChIJizEFLE7YB0ERyMXxBV1qaPQ,,"gym without confirmed saunas"
FILTERED,"Fairmont Olympic Hotel, Seattle","411 University St, Seattle, WA 98101, USA",4.6,4481,,,,"https://www.fairmont.com/seattle/?goto=fiche_hotel&code_hotel=A580&merchantid=seo-maps-US-A580&sourceid=aw-cen&utm_medium=seo%20maps&utm_source=google%20Maps&utm_campaign=seo%20maps",ChIJf3uV-rNqkFQRmkmlotz3KN0,,"excluded type: bar"
FILTERED,"The Lodge at St. Edward Park","14477 Juanita Dr NE, Kenmore, WA 98028, USA",4.6,503,,,,"https://www.thelodgeatstedward.com/",ChIJFQeb1C4RkFQRd3knhyY2DDU,,"excluded type: restaurant"
FILTERED,"Ballard Health Club","Lower Level, 2208 NW Market St, Seattle, WA 98107, USA",4.7,293,,,,"http://www.ballardhealthclub.com/",ChIJY-Vf3MUVkFQRYOnuWWGF3G4,,"gym without confirmed saunas"
FILTERED,"Fremont Health Club","920 N 34th St #200, Seattle, WA 98103, USA",4.8,102,,,,"http://www.fremonthc.com/",ChIJT7nvrgAVkFQRg_VGaaVnznA,,"gym without confirmed saunas"
FILTERED,"City Sweats - Bellevue","825 Bellevue Way NE, Bellevue, WA 98004, USA",4.9,51,,,,"https://citysweats.com/bellevue",ChIJR0_iMDBtkFQRO6dT0m_I3Ac,,"no sauna-specific signals"
FILTERED,"Glow Natural Health Center","2719 E Madison St #203, Seattle, WA 98112, USA",4.7,117,,,,"https://glownaturalhealth.com/",ChIJTSKYZStrkFQRAtNRsUIMgGY,,"no sauna-specific signals"
FILTERED,"Sublime Spa Seattle","2727 Fairview Ave E b, Seattle, WA 98102, USA",5,9,,,,"http://sublimespaseattle.com/",ChIJgyaSdvMVkFQRXH6rcxZ-0s8,,"too few reviews (9)"
FILTERED,"Pacific Northwest Fitness","401 Broadway E, Seattle, WA 98102, USA",3.2,154,,,,"http://www.pnwfitnessclubs.com/",ChIJkbR4di4VkFQRFXC1WtQIO_0,,"excluded type: store"
FILTERED,"Fit321Go by Tommy Jones","819 E Thomas St, Seattle, WA 98102, USA",4.8,106,,,,"http://fit321go.com/",ChIJ95jQYCUVkFQRgTJuK7ULZx4,,"gym without confirmed saunas"
FILTERED,"Cap Hill Fitness","510 E Pine St, Seattle, WA 98122, USA",5,94,,,,"https://www.caphillfitness.com/",ChIJvfE6w5NrkFQROLmac7zDrZA,,"gym without confirmed saunas"
FILTERED,"Mitchell Activity Center","1718 Broadway, Seattle, WA 98122, USA",4,47,,,,"https://mac.seattlecentral.edu/",ChIJh7oVJs1qkFQRxI_QkOOPnSE,,"gym without confirmed saunas"
FILTERED,"TRIBE Fitness","606 Broadway E, Seattle, WA 98102, USA",4.9,240,,,,"http://tribeseattle.com/",ChIJfSHf9C4VkFQRe9eqqvs_IUU,,"gym without confirmed saunas"
FILTERED,"RCF Barbell Club","1318 E Pine St B, Seattle, WA 98122, USA",4.8,56,,,,"https://www.rcfbarbellclub.com/",ChIJZ1jNhpNrkFQRSh7Swq_tHBQ,,"gym without confirmed saunas"
FILTERED,"Mind Body Sanctuary","4204 NW Leary Wy, Seattle, WA 98107, USA",5,5,,,,"http://www.mindbodysanctuary.com/",ChIJUzJVMq4VkFQRjssy7LifVQY,,"too few reviews (5)"
FILTERED,"Healing Spa","3931 Bridge Wy N #102, Seattle, WA 98103, USA",4.8,227,,,,"https://healingspa.onbuildhealth.com/",ChIJn7TiSrEVkFQRvkdKARsUXl8,,"no sauna-specific signals"
FILTERED,"Habitude Salon & Spa","2801 NW Market St, Seattle, WA 98107, USA",4.7,1091,,,,"https://www.habitude.com/",ChIJNbjEB8MVkFQRGDqOpRDv_U8,,"no sauna-specific signals"
FILTERED,"Oasis Spa","7551B 15th Ave NW, Seattle, WA 98117, USA",5,4,,,,"http://oasisspawa.wixsite.com/98117",ChIJ0SJITEgVkFQRAfWWf4ajyOs,,"too few reviews (4)"
FILTERED,"Flow Fitness","710 N 34th St, Seattle, WA 98103, USA",4.7,137,,,,"http://www.flowfitnessseattle.com/",ChIJ06FH1gYVkFQRbkgAcNhG95Y,,"gym without confirmed saunas"
FILTERED,"FUELhouse Gym","4027 NW Leary Wy, Seattle, WA 98107, USA",5,133,,,,"https://www.fuelhousegym.com/",ChIJgQB8iQEVkFQR1t4Vq5r72UQ,,"gym without confirmed saunas"
FILTERED,"Planet Fitness","1500 NW Market St Ste 100, Seattle, WA 98107, USA",3.5,105,,,,"https://www.planetfitness.com/gyms/?utm_medium=yext&utm_source=extnet",ChIJ1WjAVG8VkFQRvjYMyhkt0Pk,,"gym without confirmed saunas"
FILTERED,"Ekstasis Strength and Conditioning","2622 NW Market St suite b, Seattle, WA 98107, USA",5,70,,,,"https://ekstasisstrengthandconditioning.com/",ChIJjbhdjdUVkFQRbdWjK0Sny7k,,"gym without confirmed saunas"
FILTERED,"Corsair Athletics","1400 NW 49th St, Seattle, WA 98107, USA",5,72,,,,"https://traincorsair.com/",ChIJKcJolSkVkFQRfzWVuWYTT74,,"gym without confirmed saunas"
FILTERED,"barre3","5711 24th Ave NW, Seattle, WA 98107, USA",5,141,,,,"http://barre3.com/studio-locations/ballard",ChIJO4FYCMUVkFQRXK7bgBOnQC8,,"gym without confirmed saunas"
FILTERED,"TruFusion Ballard","1401 NW 46th St Suite 200, Seattle, WA 98107, USA",4.8,150,,,,"https://trufusion.com/ballard/",ChIJa-U20BAVkFQRif4jmUR7MjA,,"gym without confirmed saunas"
FILTERED,"Friends of the Gym","1715 NW Market St, Seattle, WA 98107, USA",4.9,61,,,,"http://www.frogym.com/",ChIJJ6dwpLcVkFQRghkbnaQLgLs,,"gym without confirmed saunas"
FILTERED,"Emerald City Athletics - Wallingford","3924 Stone Way N, Seattle, WA 98103, USA",4.5,1226,,,,"https://emeraldcitygyms.com/wallingford",ChIJeXjXiv8UkFQRi45uqSqaf_E,,"gym without confirmed saunas"
FILTERED,"Ballard CrossFit","6419 15th Ave NW, Seattle, WA 98107, USA",4.8,73,,,,"http://www.ballardcrossfit.com/",ChIJuXM2ns0VkFQRCxkzVBzC9lU,,"gym without confirmed saunas"
FILTERED,"Healing Wellness & Spa Center","3601 Fremont Ave N #209, Seattle, WA 98103, USA",5,25,,,,"https://www.vagaro.com/healingwellnessandspacenter",ChIJAaT-mGYVkFQR-l21ICZRCBM,,"no sauna-specific signals"
FILTERED,"Resonate Sound Spa","600 N 36th St #204, Seattle, WA 98103, USA",5,11,,,,"https://www.resonatesoundspa.com/",ChIJv4bUbawVkFQReqVrmN3ikDw,,"no sauna-specific signals"
FILTERED,"Orchid Spa","4601 Aurora Ave N, Seattle, WA 98103, USA",5,5,,,,"http://www.orchidspa888.com/",ChIJaaj3cwoVkFQRNVZlWQZ5erk,,"too few reviews (5)"
FILTERED,"Blue Ocean Spa","4507 Sunnyside Ave N, Seattle, WA 98103, USA",3.9,7,,,,"https://sssspa.wixsite.com/blueoceanspa",ChIJWfVovbkVkFQRBooeUOTqlA8,,"too few reviews (7)"
FILTERED,"The NOW Massage Seattle Fremont","900 N 34th St suite b, Seattle, WA 98103, USA",4.5,118,,,,"https://thenowmassage.com/seattle-fremont",ChIJFWlhrIcVkFQRcvhAibA_eYU,,"no sauna-specific signals"
FILTERED,"Embody Strength and Wellness","4100 Aurora Ave N, Seattle, WA 98103, USA",4.8,65,,,,"http://www.embodystrengthandwellness.com/",ChIJT57ixVQUkFQRug7QfteVfWE,,"gym without confirmed saunas"
FILTERED,"Experience Momentum","1100 N 35th St, Seattle, WA 98103, USA",5,282,,,,"https://www.experiencemomentum.com/",ChIJKflFIxsVkFQRLWUNPOEb2gE,,"gym without confirmed saunas"
FILTERED,"Transform 180 Fitness - Belltown Gym","140 4th Ave N Suite 150, Seattle, WA 98109, USA",4.9,294,,,,"http://www.transform180training.com/",ChIJ5fMLBzgVkFQRMd94iqo_cbI,,"gym without confirmed saunas"
FILTERED,"Pure Skin Spa","1324 N 45th St suite c, Seattle, WA 98103, USA",4.9,54,,,,"https://www.pureskinspa.com/",ChIJR8W9PFEUkFQRUD1_zP82uGk,,"excluded type: store"
FILTERED,"Vita Nova Spa","14477 Juanita Dr NE, Kenmore, WA 98028, USA",5,7,,,,"https://www.thelodgeatstedward.com/spa",ChIJBThCV3sRkFQRViIAw_3dsPs,,"too few reviews (7)"
FILTERED,"Moon spa","1423 N 45th St, Seattle, WA 98103, USA",4.5,22,,,,"",ChIJ0bFFbQAVkFQRRq1p81_cexs,,"no sauna-specific signals"
FILTERED,"Industrious U-District","4501 Roosevelt Way NE, Seattle, WA 98105, USA",5,26,,,,"https://www.mindbodyonline.com/explore/locations/industrious-university-district",ChIJk-remCUVkFQRHuMoVj31XAk,,"gym without confirmed saunas"
FILTERED,"University Family YMCA","5003 12th Ave NE, Seattle, WA 98105, USA",4.1,70,,,,"https://www.seattleymca.org/locations/university-family-ymca?y_source=1_MTAzMDUwMTk4OS03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D",ChIJoaCzrWEUkFQRGiOxx_Wqgkk,,"gym without confirmed saunas"
FILTERED,"Transform 180 Fitness - Madison Park Gym","3130 E Madison St, Seattle, WA 98112, USA",4.8,74,,,,"https://www.transform180training.com/",ChIJc5qiinoVkFQRVsOWBU8uG4o,,"excluded name: \bpark\b(?!.*(?:spa|sauna|bath|slope))"
FILTERED,"University of Washington Intramural Activities Building (IMA)","3924 Montlake Blvd NE, Seattle, WA 98195, USA",4.5,631,,,,"http://recreation.uw.edu/",ChIJc9vMHrVqkFQRVlzzsNQ37RE,,"gym without confirmed saunas"
FILTERED,"InSpa - University Village","2641 NE University Village St, Seattle, WA 98105, USA",4.5,150,,,,"https://inspa.com/",ChIJVbyUAoYUkFQRMZJxPcD6ygw,,"no sauna-specific signals"
FILTERED,"Bouldering Project - U District","4502 University Wy NE, Seattle, WA 98105, USA",4.5,113,,,,"https://boulderingproject.com/location/university-district/",ChIJTx1JAAAVkFQRP1BHE5M4tYw,,"no sauna-specific signals"
FILTERED,"U.88 spa","2901 NE Blakeley St STE 3B, Seattle, WA 98105, USA",5,3,,,,"http://u88spawa.com/",ChIJrTPf8kYVkFQRPEBZHxsW5Mo,,"too few reviews (3)"
FILTERED,"Top Massage & Spa","5254A University Wy NE, Seattle, WA 98105, USA",5,1,,,,"https://topmassagespa5254.top888site.com/",ChIJQbswn1MVkFQRWqEFe2G1Uns,,"too few reviews (1)"
FILTERED,"SkinSpirit Seattle - University Village","2692 NE 49th St, Seattle, WA 98105, USA",4.7,291,,,,"https://www.skinspirit.com/locations/seattle-university-village/?utm_source=citation&utm_medium=organic&utm_campaign=seattle",ChIJQzuUAoYUkFQR95S1DMbK-G4,,"no sauna-specific signals"
FILTERED,"Jasmine spa","5218 A University Wy NE, Seattle, WA 98105, USA",4.1,9,,,,"https://sssspa.wixsite.com/jasmine--spa",ChIJZx8a-CQVkFQROqyXisyqdSs,,"too few reviews (9)"
FILTERED,"Spa Envy","5025 25th Ave NE STE 105, Seattle, WA 98105, USA",4.7,81,,,,"http://www.spaenvyseattle.com/",ChIJlTjy2ocUkFQR3UNToqYP9YU,,"no sauna-specific signals"
FILTERED,"Skin & Sage","5502 34th Ave NE, Seattle, WA 98105, USA",4.8,114,,,,"http://skinandsagespa.com/",ChIJJc1LTokVkFQRuq45cHFAwJk,,"no sauna-specific signals"
FILTERED,"Spavia Day Spa - Greenlake","7140 Woodlawn Ave NE, Seattle, WA 98115, USA",4.8,318,,,,"https://seattlewa.spaviadayspa.com/",ChIJDVlGGm0UkFQR_vOBDsj0wtQ,,"no sauna-specific signals"
FILTERED,"GreenLake Fitness","7203 Woodlawn Ave NE, Seattle, WA 98115, USA",4.4,65,,,,"http://www.greenlakefitness.com/",ChIJS3toGG0UkFQRdIZVSwDBDaw,,"gym without confirmed saunas"
FILTERED,"TruFusion University Village","2694 NE 49th St, Seattle, WA 98105, USA",4.7,108,,,,"https://trufusion.com/university-village/",ChIJGUmIeQsVkFQRjM1ciaZL9n4,,"gym without confirmed saunas"
FILTERED,"Fitness Center West","1218 NE Campus Pkwy, Seattle, WA 98105, USA",4,43,,,,"",ChIJMUQtmPMUkFQRH9LqVSFut-A,,"gym without confirmed saunas"
FILTERED,"Sama Fitness","5000 30th Ave NE UNIT 100, Seattle, WA 98105, USA",4.9,24,,,,"http://www.samafit.com/",ChIJgUImDBkVkFQRM_8J_sBFVbw,,"gym without confirmed saunas"
FILTERED,"Studio 45","5101 25th Ave NE, Seattle, WA 98105, USA",5,255,,,,"https://www.studio45.com/",ChIJj1gEj4cUkFQRelPXcDxGiNk,,"gym without confirmed saunas"
FILTERED,"Project Fortius - Strength & Conditioning Gym","3422 NE 55th St, Seattle, WA 98105, USA",5,13,,,,"http://projectfortius.com/",ChIJM8rXCJgVkFQRRbnfdLTGkdQ,,"gym without confirmed saunas"
FILTERED,"ATTN Seattle","2943 NE Blakeley St, Seattle, WA 98105, USA",4.8,18,,,,"http://www.attnseattle.com/",ChIJ7b44IAAVkFQRRFFUXgQQooE,,"gym without confirmed saunas"
FILTERED,"William F. Eisiminger Fitness Center","550 14th Ave, Seattle, WA 98112, USA",4.4,32,,,,"http://www.seattleu.edu/recreation/facilities/",ChIJWxBxdsZqkFQR7UgFNEKbcv8,,"gym without confirmed saunas"
FILTERED,"Massage Reimagined in Lower Queen Anne","311 W Republican St, Seattle, WA 98119, USA",4.9,74,,,,"http://www.massagereimagined.com/spa",ChIJP9T4f0gVkFQROIi2fGINDaY,,"no sauna-specific signals"
FILTERED,"Washington State Wellness Center","1817 Queen Anne Ave N #214, Seattle, WA 98109, USA",4.5,73,,,,"https://washingtonstatewellnesscenter.schedulista.com/?fbclid=PAAab8JMAeplyBPVEi0AqHshmGw-A-hgmJZDyTVgSIMwpvZyVGcjSLb4wIC3c_aem_AWfJk2lBeORXxlV0CcBVpWLI5O2uQmcaI3xWiVJ4iKb-fn-rUKgFY3OaIn_elQbWxT0",ChIJ271EGXIUkFQR7vcGcrrIy5A,,"excluded type: store"
FILTERED,"Classique Queen Anne Spa","1901 10th Ave W, Seattle, WA 98119, USA",5,52,,,,"http://www.classiquespa.com/",ChIJkWav7XEVkFQRxcPK-oW6A9o,,"no sauna-specific signals"
FILTERED,"[solidcore] Queen Anne","203 Roy St, Seattle, WA 98109, USA",4.7,12,,,,"https://www.solidcore.co/wa/seattle/queen-anne/?utm_source=google&utm_medium=search&utm_content=local-listing&utm_campaign=gmb-listing",ChIJ8cCn2BgVkFQRDsTiYcREg9A,,"gym without confirmed saunas"
FILTERED,"Seattle Strength & Performance - Queen Anne","601 W McGraw St, Seattle, WA 98119, USA",5,185,,,,"http://www.seattlesp.com/",ChIJN7Ni07EVkFQRTkjgYLsQcfU,,"gym without confirmed saunas"
FILTERED,"INDUSTRIOUS - SLU Gym","231 Dexter Ave N, Seattle, WA 98109, USA",4.9,129,,,,"https://southlakeunion.workhardlivefit.com/",ChIJASWQRfMVkFQR0GiUh-BgR8I,,"gym without confirmed saunas"
FILTERED,"Inspire Seattle","2215 Queen Anne Ave N, Seattle, WA 98109, USA",4.9,125,,,,"http://inspireseattle.com/",ChIJCfJSdhIVkFQRftPDixuEA1I,,"gym without confirmed saunas"
FILTERED,"Ofit","400 2nd Ave W Suite 220, Seattle, WA 98119, USA",4.5,55,,,,"",ChIJy7SYXUMVkFQR4ydoGEnGM0U,,"gym without confirmed saunas"
FILTERED,"HOTWORX- Seattle, WA - Interbay - Queen Anne","1570 W Armory Way #104, Seattle, WA 98119, USA",4.8,25,,,,"http://www.hotworx.net/studio/seattle-interbay-queen-anne",ChIJYTgOcBgVkFQRf2gq1wu9XGw,,"gym without confirmed saunas"
FILTERED,"Revitalize Spa","8142 15th Ave SW, Seattle, WA 98106, USA",5,21,,,,"https://www.revitalizeholisticspa.com/",ChIJpxgN0_dBkFQRagrDX1iPFHY,,"no sauna-specific signals"
FILTERED,"JM MASSAGE","1211 S Bailey St, Seattle, WA 98108, USA",5,1,,,,"",ChIJa1WYfp5BkFQRRZKAcPJbDIw,,"too few reviews (1)"
FILTERED,"Younx Spa","6253 13th Ave S, Seattle, WA 98108, USA",,,,,,"",ChIJqyZPE9NBkFQRIRB9XyYdW1o,,"too few reviews (0)"
FILTERED,"Athletic Form","2946 1st Ave S, Seattle, WA 98134, USA",4.8,64,,,,"https://www.athleticform.us/",ChIJsRRRCZhqkFQRNcrlgmoibao,,"gym without confirmed saunas"
FILTERED,"FITNESS 19","2600 SW Barton St suite b 7, Seattle, WA 98126, USA",4.4,184,,,,"http://fitness19wa.com/",ChIJ5z9GnGhBkFQRVO5mRtH0T_g,,"gym without confirmed saunas"
FILTERED,"Urban Playground","4351 15th Ave S, Seattle, WA 98108, USA",4.5,61,,,,"http://seattleurbanplayground.com/",ChIJt0Rb7dlBkFQR6cV0xi6g228,,"excluded name: playground"
FILTERED,"Ironstone Performance","6601 E Marginal Wy S Suite A, Seattle, WA 98108, USA",5,20,,,,"http://ironstoneperformance.com/",ChIJyY5VI-RrkFQR0IiS4cFIFWE,,"gym without confirmed saunas"
FILTERED,"South Seattle Women's Fitness","6300 Beacon Ave S, Seattle, WA 98108, USA",5,56,,,,"https://southseattlewomensfitness.com/",ChIJl4em6-xBkFQRmbRtv0yPkoc,,"gym without confirmed saunas"
FILTERED,"Boeing Fitness Center (2-22)","222 16th Ave S, Seattle, WA 98108, USA",4.5,43,,,,"",ChIJg2BkD4pBkFQRcB1O4Kco200,,"gym without confirmed saunas"
FILTERED,"777 Strength & Conditioning","1115 S Elizabeth St, Seattle, WA 98108, USA",4.9,45,,,,"https://www.777strength.com/",ChIJsSv22exBkFQRYpsoO1xndiE,,"gym without confirmed saunas"
FILTERED,"Rainier Health & Fitness","7722 Rainier Ave S, Seattle, WA 98118, USA",4.7,102,,,,"http://www.rainierhealth.com/",ChIJ7_R0QQhCkFQR_awvzc_YEDQ,,"gym without confirmed saunas"
FILTERED,"Emerald City Athletics - Columbia City","3785 S Alaska St, Seattle, WA 98118, USA",4.8,1179,,,,"https://emeraldcitygyms.com/columbia-city",ChIJV0GRUQJrkFQRbmG3Nv0krP8,,"gym without confirmed saunas"
FILTERED,"Revive Therapeutics","3250 Airport Wy S Suite 649, Seattle, WA 98134, USA",4.9,46,,,,"http://www.revivetherapeutics.com/",ChIJf4DHuxVqkFQRrSNdxxVoVj8,,"no sauna-specific signals"
FILTERED,"The Spa House by QueenCare","3702 S Hudson St Ste. 103, Seattle, WA 98118, USA",5,10,,,,"http://www.queencareproducts.com/",ChIJDcIl-F9rkFQRaZrqwy788vg,,"excluded type: store"
FILTERED,"Rainier Beach Community Center","8825 Rainier Ave S, Seattle, WA 98118, USA",4.4,287,,,,"http://www.seattle.gov/parks/find/centers/rainier-beach-community-center",ChIJgSHPKA1CkFQRkk1mVKYYIgo,,"excluded name: community\s*center"
FILTERED,"USCG Base Seattle MWR/Olympic Peak Performance Athletic Center","1519 Alaskan Way S, Seattle, WA 98134, USA",5,3,,,,"https://www.dcms.uscg.mil/Our-Organization/Operational-Logistics-Command-LOGCOM/Bases/Base-Seattle/MWR/",ChIJl0LWU9hBkFQRMFn2_Kh0nYM,,"too few reviews (3)"
FILTERED,"RCF Barbell Club Sodo","2227 4th Ave S, Seattle, WA 98134, USA",5,7,,,,"http://rcfbarbellclub.com/",ChIJ-2E3aCFrkFQRxakrGZf9s8w,,"too few reviews (7)"
FILTERED,"Jefferson Community Center","3801 Beacon Ave S, Seattle, WA 98108, USA",4.6,187,,,,"http://www.seattle.gov/parks/find/centers/jefferson-community-center",ChIJWR7wZXhqkFQR2chT-PFZQ4A,,"excluded name: community\s*center"
FILTERED,"Columbia City Healing Space","4741 Rainier Ave S, Seattle, WA 98118, USA",5,1,,,,"https://columbiacityhealingspace.com/",ChIJUdBLFFBrkFQR0KZU7vwJrQ0,,"too few reviews (1)"
FILTERED,"Columbia City Fitness Center","4525 Rainier Ave S Suite 101N, Seattle, WA 98118, USA",4.2,49,,,,"https://www.columbiacityfitness.com/",ChIJOwU-MgxqkFQR5jXjgzirQtY,,"gym without confirmed saunas"
FILTERED,"Rocket Community Fitness","5720 Rainier Ave S, Seattle, WA 98118, USA",4.5,112,,,,"http://rocketcommunityfitness.com/",ChIJkTCDPwRqkFQRL6PJW2yGV9k,,"gym without confirmed saunas"
FILTERED,"F3 Columbia City: Free Men’s Workout","4316 S Genesee St, Seattle, WA 98118, USA",5,6,,,,"http://www.f3pugetsound.com/",ChIJWfQZKwBrkFQRWg76YrgN9t0,,"excluded type: park"
FILTERED,"Pure Barre","4689 Martin Luther King Jr Way S Suite 5, Seattle, WA 98108, USA",4.8,18,,,,"https://www.purebarre.com/location/columbia-station-wa",ChIJHcxwUK9rkFQRSX-1P9H-Viw,,"gym without confirmed saunas"
FILTERED,"Strong Life Training","1407 SW 100th St, Seattle, WA 98146, USA",5,72,,,,"https://www.stronglifetrainingfacility.com/",ChIJEdhylcFDkFQR_AMWRVWF9QE,,"gym without confirmed saunas"
FILTERED,"Workout Powered by Exos","701 5th Ave, Seattle, WA 98104, USA",3.2,10,,,,"",ChIJq04krL1rkFQRnUmfXq-HvRo,,"gym without confirmed saunas"
FILTERED,"Alki Beach Bathhouse Public Restrooms","2701 Alki Ave SW, Seattle, WA 98116, USA",5,3,,,,"",ChIJPUUuMSBBkFQRfccd_44fXAc,,"too few reviews (3)"
FILTERED,"Elliott Bay Spa","5400 California Ave SW # F, Seattle, WA 98136, USA",4.8,44,,,,"https://www.elliottbayspa.com/",ChIJcQvhT_1AkFQReCiuwdAsjq0,,"no sauna-specific signals"
FILTERED,"West Seattle Wellness","4744 41st Ave SW #106, Seattle, WA 98116, USA",4.5,43,,,,"http://www.westseattlewellness.com/",ChIJQUZ5m_lAkFQRW_omH3SSVNA,,"no sauna-specific signals"
FILTERED,"Jasmine Spa","6014 California Ave SW C, Seattle, WA 98136, USA",4.7,6,,,,"",ChIJg454QVJBkFQR0P6uGms2u5A,,"too few reviews (6)"
FILTERED,"Sunshine Wellness","3280 California Ave SW #A, Seattle, WA 98116, USA",4.1,91,,,,"http://sunshinemassageseattle.com/",ChIJuwmj8zNBkFQRog1iPs8l-QY,,"no sauna-specific signals"
FILTERED,"West Seattle & Fauntleroy YMCA","3622 SW Snoqualmie St, Seattle, WA 98126, USA",4,139,,,,"https://www.seattleymca.org/locations/west-seattle-fauntleroy-ymca?y_source=1_MTAzMDUwMTk5MC03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D",ChIJX8i0FVZAkFQRapfbg_7HK-o,,"gym without confirmed saunas"
FILTERED,"Westside Fitness","4617 36th Ave SW, Seattle, WA 98126, USA",4.8,39,,,,"https://westsidefitnesswestseattle.com/",ChIJ9_KdpzdBkFQRau2V155V0L4,,"gym without confirmed saunas"
FILTERED,"INDUSTRIOUS - West Seattle","4538 California Ave SW, Seattle, WA 98116, USA",5,38,,,,"https://westseattle.workhardlivefit.com/",ChIJP2gcVy1BkFQRd3wqL03cJE8,,"gym without confirmed saunas"
FILTERED,"Seattle Strength & Performance - West Seattle","2942 SW Avalon Way, Seattle, WA 98126, USA",5,94,,,,"https://seattlesp.com/",ChIJ5emJbbNBkFQRfUepAAZeGCs,,"gym without confirmed saunas"
FILTERED,"barre3","3218 California Ave SW, Seattle, WA 98116, USA",4.9,169,,,,"https://online.barre3.com/studio-locations/westseattle",ChIJeR6dq2BAkFQRA0iwIUck8gk,,"gym without confirmed saunas"
FILTERED,"HIIT Lab","6323 35th Ave SW, Seattle, WA 98126, USA",4.9,152,,,,"https://www.hiitlab.com/",ChIJ-28BzhtBkFQR0vbjHD8sxB0,,"no sauna-specific signals"
FILTERED,"Loft Fitness","4140 California Ave SW, Seattle, WA 98116, USA",4.9,135,,,,"http://www.loft-fitness.com/",ChIJ-WE6lPdAkFQREnuOapPN620,,"gym without confirmed saunas"
FILTERED,"Fauntleroy YMCA","9140 California Ave SW, Seattle, WA 98136, USA",4.3,55,,,,"https://www.seattleymca.org/locations/west-seattle-fauntleroy-ymca?utm_source=google&utm_medium=organic&utm_campaign=business-listing&utm_content=west-seattle",ChIJ12GouE9BkFQRaAY7jmNboWw,,"gym without confirmed saunas"
